"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4207","Invalid Login - Wrong Credentials","Google Chrome","2026-08-25","passed","2026-08-25","Authentication Testing","specs/authentication.spec.js","",""
"","1634","Remove Items from Cart","Google Chrome","2026-08-25","passed","2026-08-25","Shopping Cart Testing","specs/shopping-cart.spec.js","",""
"","1438","fixture Add Items to Cart","Microsoft Edge","2026-08-25","passed","2026-08-25","Shopping Cart fixture Testing","specs/shopping-fixture.spec.js","",""
"","1545","Locked Out User Login","Google Chrome","2026-08-25","passed","2026-08-25","Authentication Testing","specs/authentication.spec.js","",""
"","2097","Add Items to Cart","Microsoft Edge","2026-08-25","passed","2026-08-25","Shopping Cart Testing","specs/shopping-cart.spec.js","",""
"","1237","login field presence","Google Chrome","2026-08-25","passed","2026-08-25","Login screen element rendering","specs/login.spec.js","",""
"","2067","fixture Remove Items from Cart","Google Chrome","2026-08-25","passed","2026-08-25","Shopping Cart fixture Testing","specs/shopping-fixture.spec.js","",""
"","1202","has title","Google Chrome","2026-08-25","passed","2026-08-25","Login screen element rendering","specs/login.spec.js","",""
"","782","has title","Microsoft Edge","2026-08-25","passed","2026-08-25","Login screen element rendering","specs/login.spec.js","",""
"","2494","Add Items to Cart","Google Chrome","2026-08-25","passed","2026-08-25","Shopping Cart Testing","specs/shopping-cart.spec.js","",""
"","4486","Valid Login - Standard User","Google Chrome","2026-08-25","passed","2026-08-25","Authentication Testing","specs/authentication.spec.js","",""
"","1630","fixture Cart Persistence","Microsoft Edge","2026-08-25","passed","2026-08-25","Shopping Cart fixture Testing","specs/shopping-fixture.spec.js","",""
"","1998","fixture Cart Persistence","Google Chrome","2026-08-25","passed","2026-08-25","Shopping Cart fixture Testing","specs/shopping-fixture.spec.js","",""
"","1704","Cart Persistence","Microsoft Edge","2026-08-25","passed","2026-08-25","Shopping Cart Testing","specs/shopping-cart.spec.js","",""
"","1143","Locked Out User Login","Microsoft Edge","2026-08-25","passed","2026-08-25","Authentication Testing","specs/authentication.spec.js","",""
"","1602","fixture Remove Items from Cart","Microsoft Edge","2026-08-25","passed","2026-08-25","Shopping Cart fixture Testing","specs/shopping-fixture.spec.js","",""
"","843","login field presence","Microsoft Edge","2026-08-25","passed","2026-08-25","Login screen element rendering","specs/login.spec.js","",""
"","1872","Cart Persistence","Google Chrome","2026-08-25","passed","2026-08-25","Shopping Cart Testing","specs/shopping-cart.spec.js","",""
"","1365","Remove Items from Cart","Microsoft Edge","2026-08-25","passed","2026-08-25","Shopping Cart Testing","specs/shopping-cart.spec.js","",""
"","1865","fixture Add Items to Cart","Google Chrome","2026-08-25","passed","2026-08-25","Shopping Cart fixture Testing","specs/shopping-fixture.spec.js","",""
"","9148","Invalid Login - Wrong Credentials","Microsoft Edge","2026-08-25","passed","2026-08-25","Authentication Testing","specs/authentication.spec.js","",""
"","9449","Valid Login - Standard User","Microsoft Edge","2026-08-25","passed","2026-08-25","Authentication Testing","specs/authentication.spec.js","",""
